"id","title","url"
"DSDP","DSDP License","https://fedoraproject.org/wiki/Licensing/DSDP"
"DSL","Design Science License","https://opendefinition.org/licenses/dsl"
"dvipdfm","dvipdfm License","https://fedoraproject.org/wiki/Licensing/dvipdfm"
"ECL-1.0","Educational Community License v1.0","https://opensource.org/licenses/ECL-1.0"
"ECL-2.0","Educational Community License v2.0","https://opensource.org/licenses/ECL-2.0"
"eCos-2.0","eCos license version 2.0","https://www.gnu.org/licenses/ecos-license.html"
"EFL-1.0","Eiffel Forum License v1.0","https://opensource.org/licenses/EFL-1.0"
"eGenix","eGenix.com Public License 1.1.0","https://fedoraproject.org/wiki/Licensing/eGenix.com_Public_License_1.1.0"
"Entessa","Entessa Public License v1.0","https://opensource.org/licenses/Entessa"
"EPICS","EPICS Open License","https://epics.anl.gov/license/open.php"
"EPL-1.0","Eclipse Public License 1.0","https://opensource.org/licenses/EPL-1.0"
"EPL-2.0","Eclipse Public License 2.0","https://www.opensource.org/licenses/EPL-2.0"
"ErlPL-1.1","Erlang Public License v1.1","http://www.erlang.org/EPLICENSE"
"etalab-2.0","Etalab Open License 2.0","https://raw.githubusercontent.com/DISIC/politique-de-contribution-open-source/master/LICENSE"
"EUDatagrid","EU DataGrid Software License","https://opensource.org/licenses/EUDatagrid"
"EUPL-1.0","European Union Public License 1.0","http://ec.europa.eu/idabc/servlets/Doc027f.pdf?id=31096"
"EUPL-1.1","European Union Public License 1.1","https://opensource.org/licenses/EUPL-1.1"
"EUPL-1.2","European Union Public License 1.2","https://opensource.org/licenses/EUPL-1.2"
"Eurosym","Eurosym License","https://fedoraproject.org/wiki/Licensing/Eurosym"
"Fair","Fair License","https://opensource.org/licenses/Fair"
"FAL-1.3","Free Art License 1.3","https://opendefinition.org/licenses/fal"
"Frameworx-1.0","Frameworx Open License 1.0","https://opensource.org/licenses/Frameworx-1.0"
"FreeBSD-DOC","FreeBSD Documentation License","https://www.freebsd.org/copyright/freebsd-doc-license/"
"FreeImage","FreeImage Public License v1.0","http://freeimage.sourceforge.net/freeimage-license.txt"
"FSFAP","FSF All Permissive License","https://www.gnu.org/prep/maintain/html_node/License-Notices-for-Other-Files.html"
"FSFUL","FSF Unlimited License","https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License"
"FSFULLR","FSF Unlimited License (with License Retention)","https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License#License_Retention_Variant"
"FTL","Freetype Project License","http://gitlab.freedesktop.org/freetype/freetype/-/raw/master/docs/FTL.TXT"
